Name,Industry,Sector,Headquarters,Founded,Notes
Ittefaq Iron Industries,Basic materials,Iron and Steel,Lahore,2009,"Steel, owned by Alshafi Group"
Ittehad Chemicals,Chemicals,Chemicals: Diversified,Lahore,1964,Chemicals
Jang Group of Newspapers,Consumer services,Publishing,Karachi,1939,"Newspaper, part of Independent Media Corporation"
Jazz,Telecommunications,Telecommunications Services,Islamabad,1994,"Mobile networks, owned by VEON (Netherlands)"
JS Bank,Financials,Banks,Karachi,2007,"Commercial bank, owned by JS Group"
JS Group,Financials,Diversified Financial Services,Karachi,1971,"Banking, Brokerage, Asset management, financial management, investment"
Jubilee Life,Financials,Life Insurance,Karachi,1995,"Life & health insurance, owned by Aga Khan Fund for Economic Development (Switzerland)"
K&N's,Consumer goods,Food Producers,Karachi,1964,Poultry products retailer
Karachi Port Trust,Industrials,Transportation Services,Karachi,1887,State-owned Karachi seaport operations
Karachi Shipyard,Industrials,Shipbuilding,Karachi,1957,State-owned commercial & naval ship building industry
KASB Bank,Financials,Banks,Karachi,1994,"Bank, defunct 2015"
K-Electric,Utilities,Alternative Electricity,Karachi,1913,"Thermal power generation, distribution, transmission infrastructures supplier, owned by The Abraaj Group (UAE)"
Khaadi,Consumer goods,Clothing and Accessories,Karachi,1999,Fashion
Khyber Pakhtunkhwa Oil & Gas Company,Energy,Integrated Oil and Gas,Peshawar,2013,State-owned oil and gas exploration & production
Kot Addu Power Company,Utilities,Alternative Electricity,Kot Addu City,1996,Thermal power generation
Lakson Group,Conglomerates,-,Karachi,1954,"Consumer goods, financials, food, industrials, media, technology, textile"
Loads Limited,Consumer goods,Auto Parts,Karachi,1979[18],Automobile components & parts manufacturer
Lotte Kolson,Consumer goods,Food Producers,Karachi,1942,"Confectionery, snack, joint venture with Lotte Group (South Korea)"
Lucky Cement,Industrials,Cement,Karachi,1996,"Cement, subsidiary of Yunus Brothers Group"
MangoBaaz,Consumer services,Media,Lahore,2014,Internet Media holding company
Maple Leaf Cement,Industrials,Cement,Lahore,1956,"Cement, subsidiary of Saigol Group"
Maria B,Consumer goods,Clothing and Accessories,Lahore,1999,Luxury fashion
Mari Petroleum,Energy,Integrated Oil and Gas,Islamabad,1984,Oil and gas exploration & production
Martin Dow,Health care,Pharmaceuticals and Medical Equipment,Karachi,1995,Multi-national pharmaceutical ingredients & respiratory devices manufacturer
Masood Textile Mills,Basic materials,Textile Products,Faisalabad,1985,Textile manufacturer
Master Motors,Consumer goods,Automobiles,Karachi,2002,"Cars & commercial vehicles manufacturer, joint venture of Master Group & Changan, Foton, Yutong (China), Fuso (Japan)"
MCB Bank,Financials,Banks,Karachi,1947,"Commercial bank, owned by Nishat Group"
Meezan Bank,Financials,Banks,Karachi,1997,Commercial bank
Mehran Spice and Food Industries,Consumer goods,Food Producers,Karachi,1975,"Spices, pickles"
MG Motors Pakistan,Consumer goods,Automobiles,Lahore,2020,"Cars manufacturer, joint venture of JW-SEZ Group & MG (China)"
Millat Tractors,Industrials,Machinery: Agricultural,Lahore,1965,"Manufacturer of American Massey Ferguson tractors, agricultural equipment, diesel engines, generating sets & forklift vehicles"
Mitchell's,Consumer goods,Food Producers,Lahore,1933,"Confectionery, fruit processing"
Mughal Steel,Basic materials,Iron and Steel,Lahore,1950,Steel
Muhammadi Steamship Company Limited,Transportation,Marine Transportation,Karachi,1947,"Shipping line, merged into PNSC"
Murree Brewery,Consumer goods,Beverages,Rawalpindi,1860,Brewers & non-alcoholic beverages
National Bank of Pakistan,Financials,Banks,Karachi,1949,Government commercial bank
NESPAK,Industrials,Construction,Lahore,1973,"State-owned multinational construction, engineering & contracting services"
National Foods,Consumer goods,Food Producers,Karachi,1970,Spices
National Logistics Cell,Industrials,Industrial Transportation,Rawalpindi,1978,"State-owned freight transportation, logistics, aviation, construction, engineering, technology & tolling services"
National Radio & Telecommunication Corporation,Industrials,Electronic and Electrical Equipment,Islamabad,1966,"State-owned defense technologies, radio & telecommunications equipment manufacturer"
National Engineering and Scientific Commission,Industrials,Aerospace and Defense,Islamabad,2001,State-owned aerospace & defense products manufacturer
Nayatel,Telecommunications,Telecommunications Service Providers,Islamabad,2006,"Fixed-line telecommunications, internet, cable television"
Network Television Marketing,Consumer services,Media,Karachi,1990,"Production Company, defunct in 1999"
NIB Bank,Financials,Banks,Karachi,2003,"Bank, defunct 2017, merged into MCB Bank"
Nirala Sweets,Consumer goods,Food Producers,Lahore,1948,Confectionery chain store
Nishat Group,Conglomerates,-,Lahore,1951,"Automobiles, cement, chemicals, commodities, financials, food, power, technology, textiles"
Nishat Linen,Consumer goods,Clothing and Accessories,Lahore,1994,"Apparel & accessories, subsidiary of Nishat Group"
National Transmission & Dispatch Company,Industrials,Industrial Suppliers,Lahore,1998,State-owned power transmission infrastructures supplier
Nexus Automotive,Consumer goods,Automobiles,Karachi,1999,"Cars manufacturer, defunct in 2006, was a joint venture of local investors & Balubaid (Saudi Arabia), General Motors (USA)"
Oil and Gas Development Company,Energy,Integrated Oil and Gas,Islamabad,1961,State-owned oil and gas exploration & production
Packages Limited,Industrials,Containers and Packaging,Lahore,1956,"Manufacturer of packaging papers & items, notable tissue papers Rose Petal brand"
Pak Datacom,Telecommunications,Telecommunications Service Providers,Islamabad,1992,State-owned fixed-line telecommunications & internet
Pak Suzuki Motors,Consumer goods,Automobiles,Karachi,1983,"Cars & motorcycles manufacturer, subsidiary of Suzuki (Japan)"
Pakistan Aeronautical Complex,Industrials,Aerospace and Defense,Kamra,1971,"State-owned aircraft, drone, avionics"
Pakistan Atomic Energy Commission,Energy,"Alternative Energy,Nuclear Industry",Islamabad,1956,"State-owned nuclear-based power generation, nuclear research & studies"
Pakistan Chrome Mines,Basic materials,Metals & Mining,Muslim Bagh,1902,Mining of Chromite & Magnesite
Pakistan Engineering Company,Industrials,Diversified Industrials,Lahore,1932,"Electrical equipment, industrial engineering, non-functional since 2019"
Pakistan Gems and Jewellery Development Company,Consumer goods,Clothing and Accessories,Karachi,2007,"State-owned gems and jewelry, subsidiary of PIDC"
